smiles,sa_score,sim_source,sim_target,comp_score,path_id
CC1=CC=C(C(O)=C(C)C)C=C1O,3.8081,16.67,9.90,17.85,1294
C=C(O)C1=C(O)C(C)=CC(C=O)=C1,3.9458,14.47,10.68,17.52,1301
CC1=CC(C=O)=CC(C=CN)=C1O,4.1591,12.82,10.58,16.57,1320
C=C(O)C1=CC=C(C)C(O)=C1CO,3.7530,14.47,8.57,15.43,180
CC1=CC=C2C(O)=CC=CC2=C1O,3.6187,14.86,9.80,16.87,1349
C=C(O)C1=CC(O)=C(C)C(O)=C1C,3.7466,12.16,7.84,13.55,1352
CC1=CC(C)=C(CO)C(CO)=C1O,3.4645,15.49,9.00,16.40,214
CCC1=C(CO)C(C)=C(O)C(C)=C1,3.5192,14.67,8.65,15.64,1384
CC1=C(O)C(C)=C(CO)C(C)=C1O,3.3506,9.86,7.14,11.74,1385
CCC1=C(C)C(CO)=C(O)C(C)=C1,3.5192,14.67,8.65,15.64,1443
CC1=C(C)C(CO)=C(O)C(C)=C1O,3.2939,9.72,7.07,11.60,1444
CC1=CC(CCO)=CC(CO)=C1O,3.5503,13.16,8.65,14.88,126
CC1=CC(CCO)=C(C)C(C)=C1O,3.4757,13.51,8.82,15.23,1506
CC1=C(OCO)C=CC(CO)=C1O,3.6761,13.16,8.65,14.87,1525
C=CC1=C(O)C(C)=C(OCO)C=C1,3.8862,14.10,9.43,16.10,1526
COCOC1=C(C)C(O)=C(C)C=C1,3.3922,14.47,10.68,17.58,1527
CC=C(O)C1=C(C)C=C(C)C(O)=C1,3.8686,15.07,8.82,15.97,338
CC1=CC=C(C(O)=CCN)C=C1O,4.0178,15.58,9.43,16.82,1545
CC=C(O)C1=CC(O)=C(C)C(O)=C1,3.9757,12.00,7.77,13.37,1547
CC1=CC=C(C(O)=CC=N)C=C1O,4.3502,14.29,10.58,17.28,1550
C=C(O)C1=C(O)C(C)=C(O)C(C)=C1,3.7174,13.70,8.91,15.39,1572
C=C(O)C1=C(O)C(C)=C(O)C=C1C,3.6386,13.51,8.82,15.22,1611
C=C(O)C1=C(O)C(C)=CC=C1CO,3.6871,14.47,9.62,16.48,1612
CC1=CC(C=CN)=C(O)C(C)=C1O,3.9081,11.84,9.80,15.33,1645
CC1=C(O)C=C2C=CC=CC2=C1O,3.6280,10.53,8.82,13.72,1668
CC1=CC=C(CO)C(C=CN)=C1O,3.9589,12.66,11.54,17.47,1707
C=CC1=C(O)C(C)=C(O)C=C1CO,3.8212,11.39,10.58,15.89,1708
CC1=CC(O)=C(C)C(O)=C1C=CN,4.0155,11.69,10.78,16.23,1732
CC1=C2CC(O)OC2=C(C)C(O)=C1,4.3557,11.39,11.65,16.91,270
C=CC1=CC(OCO)=C(C)C(O)=C1,4.0080,12.66,8.41,14.34,1749
COCOC1=C(C)C(O)=CC(C)=C1,3.4509,16.00,9.62,17.27,1750
CC1=C(OCO)C=C(CO)C=C1O,3.8792,13.16,8.65,14.84,1752
C=COCOC1=C(C)C(O)=CC=C1,3.8505,12.20,10.19,15.90,1769
COC(C)OC1=C(C)C(O)=CC=C1,3.9442,11.39,11.65,16.95,1770
CC1=C2OC(C)(O)CC2=CC=C1O,4.3757,10.13,12.87,17.50,1774
CC1=CC(CC(C)O)=C(C)C=C1O,4.0800,14.67,8.65,15.58,1775
C=C(O)C1=C(C=O)C=C(C)C(O)=C1,4.0282,14.29,9.52,16.26,1901
